"","airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"54","AA",115,"XNA","ORD",2024-08-01,07:26:00,"US",4088,"00:00:00",2024-08-01 10:31:00,NA,"-00:10:00",2024-08-01 10:21:00,2024-08-01 10:38:00,"-00:11:00",2024-08-01 12:15:00,NA,"-00:13:00",2024-08-01 12:13:00,2024-08-01 12:04:00,"3","L4",0,"None","521.83"
"55","AA",88,"CMH","ORD",2024-08-01,07:29:00,"US",3446,"00:00:00",2024-08-01 11:01:00,NA,"-00:03:00",2024-08-01 10:58:00,2024-08-01 11:17:00,"-00:08:00",2024-08-01 12:21:00,NA,"-00:10:00",2024-08-01 12:19:00,2024-08-01 12:09:00,"3","L3",0,"None","295.02"
"56","AA",85,"CVG","ORD",2024-08-01,07:29:00,"US",4094,"00:23:00",2024-08-01 11:27:00,NA,"00:30:00",2024-08-01 11:34:00,2024-08-01 11:48:00,"00:36:00",2024-08-01 13:05:00,NA,"00:36:00",2024-08-01 13:05:00,2024-08-01 12:36:00,"3","H1A",0,"None","264.32"
"57","AA",131,"OKC","ORD",2024-08-01,07:30:00,"US",3516,"00:55:00",2024-08-01 11:14:00,NA,"01:02:00",2024-08-01 11:21:00,2024-08-01 11:31:00,"01:08:00",2024-08-01 13:38:00,NA,"01:06:00",2024-08-01 13:36:00,2024-08-01 13:22:00,"3","L9",0,"None","692.37"
"58","AA",114,"BNA","ORD",2024-08-01,07:30:00,"US",6244,"00:00:00",2024-08-01 10:36:00,NA,"-00:08:00",2024-08-01 10:28:00,2024-08-01 10:43:00,"-00:20:00",2024-08-01 12:10:00,2024-08-01 11:58:00,"-00:25:00",2024-08-01 12:05:00,2024-08-01 11:58:00,"3","G19",0,"None","409.79"
"59","AA",108,"FSD","ORD",2024-08-01,07:30:00,"US",6050,"00:00:00",2024-08-01 10:42:00,NA,"-00:10:00",2024-08-01 10:32:00,2024-08-01 10:48:00,"-00:21:00",2024-08-01 12:09:00,2024-08-01 12:02:00,"-00:07:00",2024-08-01 12:23:00,2024-08-01 12:04:00,"3","G9",0,"None","461.39"
"60","AA",81,"CWA","ORD",2024-08-01,07:30:00,"US",6177,"00:00:00",2024-08-01 11:09:00,NA,"-00:11:00",2024-08-01 10:58:00,2024-08-01 11:10:00,"-00:27:00",2024-08-01 12:03:00,2024-08-01 12:00:00,"-00:16:00",2024-08-01 12:14:00,2024-08-01 11:58:00,"3","G11",0,"None","213.02"
"61","AA",71,"GRB","ORD",2024-08-01,07:30:00,"US",6053,"00:00:00",2024-08-01 11:19:00,NA,"-00:06:00",2024-08-01 11:13:00,2024-08-01 11:26:00,"-00:13:00",2024-08-01 12:17:00,2024-08-01 12:06:00,"-00:07:00",2024-08-01 12:23:00,2024-08-01 12:03:00,"3","G16",0,"None","173.59"
"62","AA",92,"LEX","ORD",2024-08-01,07:30:00,"US",3444,"00:00:00",2024-08-01 10:58:00,NA,"-00:04:00",2024-08-01 10:54:00,2024-08-01 11:06:00,"-00:16:00",2024-08-01 12:14:00,NA,"-00:20:00",2024-08-01 12:10:00,2024-08-01 12:02:00,"3","G10",0,"None","323.47"
"63","AA",90,"CLE","ORD",2024-08-01,07:30:00,"US",769,"00:00:00",2024-08-01 11:00:00,NA,"-00:07:00",2024-08-01 10:53:00,2024-08-01 11:05:00,"-00:21:00",2024-08-01 12:09:00,NA,"-00:23:00",2024-08-01 12:07:00,2024-08-01 11:56:00,"3","K5",0,"None","314.77"
"64","AA",71,"LAN","ORD",2024-08-01,07:30:00,"US",6158,"00:00:00",2024-08-01 11:19:00,NA,"-00:11:00",2024-08-01 11:08:00,2024-08-01 11:20:00,"-00:27:00",2024-08-01 12:03:00,2024-08-01 11:57:00,"-00:22:00",2024-08-01 12:08:00,2024-08-01 11:58:00,"3","G14A",0,"None","178.1"
"65","AA",160,"LGA","ORD",2024-08-01,07:40:00,"US",462,"02:00:00",2024-08-01 12:00:00,NA,"01:56:00",2024-08-01 11:56:00,2024-08-01 12:14:00,"01:36:00",2024-08-01 14:16:00,NA,"01:30:00",2024-08-01 14:10:00,2024-08-01 14:02:00,"3","H11A",0,"None","731.39"
"66","AA",161,"JAX","ORD",2024-08-01,07:59:00,"US",3481,"00:00:00",2024-08-01 10:18:00,NA,"-00:08:00",2024-08-01 10:10:00,2024-08-01 10:23:00,"-00:16:00",2024-08-01 12:43:00,NA,"-00:20:00",2024-08-01 12:39:00,2024-08-01 12:30:00,"3","L27",0,"None","865.21"
"67","AA",181,"TPA","ORD",2024-08-01,08:31:00,"US",1426,"00:00:00",2024-08-01 10:30:00,NA,"-00:07:00",2024-08-01 10:23:00,2024-08-01 10:35:00,"00:00:00",2024-08-01 13:31:00,NA,"00:02:00",2024-08-01 13:33:00,2024-08-01 13:03:00,"3","L11",0,"None","1013.61"
"68","AA",155,"EWR","ORD",2024-08-01,08:34:00,"US",1627,"00:00:00",2024-08-01 10:59:00,NA,"-00:05:00",2024-08-01 10:54:00,2024-08-01 11:11:00,"-00:30:00",2024-08-01 13:04:00,NA,"-00:37:00",2024-08-01 12:57:00,2024-08-01 12:50:00,"3","H18",0,"None","717.35"
"69","AA",139,"RDU","ORD",2024-08-01,08:40:00,"US",2849,"00:20:00",2024-08-01 11:41:00,NA,"00:02:00",2024-08-01 11:23:00,2024-08-01 11:47:00,"-00:02:00",2024-08-01 13:38:00,NA,"-00:10:00",2024-08-01 13:30:00,2024-08-01 13:21:00,"3","H17",0,"None","645.73"
"70","AA",132,"DCA","ORD",2024-08-01,08:40:00,"US",2304,"00:12:00",2024-08-01 11:40:00,NA,"00:15:00",2024-08-01 11:43:00,2024-08-01 12:04:00,"00:08:00",2024-08-01 13:48:00,NA,"00:06:00",2024-08-01 13:46:00,2024-08-01 13:30:00,"3","K5",0,"None","610.56"
"71","AA",149,"DFW","ORD",2024-08-01,08:45:00,"US",270,"00:00:00",2024-08-01 11:16:00,NA,"-00:05:00",2024-08-01 11:11:00,2024-08-01 11:24:00,"00:08:00",2024-08-01 13:53:00,NA,"00:17:00",2024-08-01 14:02:00,2024-08-01 13:36:00,"3","H16",0,"None","801.97"
"72","AA",176,"BOS","ORD",2024-08-01,08:45:00,"US",2265,"00:00:00",2024-08-01 10:49:00,NA,"-00:09:00",2024-08-01 10:40:00,2024-08-01 11:00:00,"-00:32:00",2024-08-01 13:13:00,NA,"-00:37:00",2024-08-01 13:08:00,2024-08-01 12:59:00,"3","H14",0,"None","864.37"
