"airline","timeOfFlight","deptAirport","arrAirport","arrDay","arrTime","deptCountry","flightNumber","estimatedOutGateVariation","estimatedOutGate","estimatedOffGround","actualOutGateVariation","actualOutGate","actualOffGround","estimatedInGateVariation","estimatedInGate","estimatedOnGround","actualInGateVariation","actualInGate","actualOnGround","arrTerminal","arrGate","numStops","connections","miles"
"NH",170,"BOS","ORD","2024-08-01","07:50","US",7481,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:26:00-04:00","-00:06:00","2024-08-01T05:54:00-04:00","2024-08-01T06:10:00-04:00","-00:21:00","2024-08-01T07:29:00-05:00","2024-08-01T07:18:00-05:00","-00:10:00","2024-08-01T07:40:00-05:00","2024-08-01T07:17:00-05:00","1","B20",0,list("None"),864.37
"NZ",76,"IND","ORD","2024-08-01","06:16","US",2482,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:12:00-04:00","-00:08:00","2024-08-01T05:52:00-04:00","2024-08-01T06:03:00-04:00","-00:24:00","2024-08-01T05:52:00-05:00","2024-08-01T05:46:00-05:00","-00:28:00","2024-08-01T05:48:00-05:00","2024-08-01T05:41:00-05:00","1","C6",0,list("None"),177.46
"NZ",64,"GRR","ORD","2024-08-01","06:04","US",2404,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:27:00-04:00","-00:05:00","2024-08-01T05:55:00-04:00","2024-08-01T06:17:00-04:00","-00:03:00","2024-08-01T06:01:00-05:00","2024-08-01T05:51:00-05:00","-00:07:00","2024-08-01T05:57:00-05:00","2024-08-01T05:50:00-05:00","2","F27",0,list("None"),136.53
"NZ",94,"CVG","ORD","2024-08-01","06:34","US",2238,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:08:00","2024-08-01T05:52:00-04:00","2024-08-01T06:06:00-04:00","-00:33:00","2024-08-01T06:01:00-05:00","2024-08-01T06:05:00-05:00","-00:33:00","2024-08-01T06:01:00-05:00","2024-08-01T05:52:00-05:00","1","B1",0,list("None"),264.32
"AC",94,"CVG","ORD","2024-08-01","06:34","US",3624,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:14:00-04:00","-00:08:00","2024-08-01T05:52:00-04:00","2024-08-01T06:06:00-04:00","-00:33:00","2024-08-01T06:01:00-05:00","2024-08-01T06:05:00-05:00","-00:33:00","2024-08-01T06:01:00-05:00","2024-08-01T05:52:00-05:00","1","B1",0,list("None"),264.32
"AC",76,"IND","ORD","2024-08-01","06:16","US",3484,"00:00:00","2024-08-01T06:00:00-04:00","2024-08-01T06:12:00-04:00","-00:08:00","2024-08-01T05:52:00-04:00","2024-08-01T06:03:00-04:00","-00:24:00","2024-08-01T05:52:00-05:00","2024-08-01T05:46:00-05:00","-00:28:00","2024-08-01T05:48:00-05:00","2024-08-01T05:41:00-05:00","1","C6",0,list("None"),177.46
"NZ",86,"CMH","ORD","2024-08-01","06:26","US",2206,"00:05:00","2024-08-01T06:05:00-04:00","2024-08-01T06:20:00-04:00","00:02:00","2024-08-01T06:02:00-04:00","2024-08-01T06:13:00-04:00","-00:20:00","2024-08-01T06:06:00-05:00","2024-08-01T06:17:00-05:00","-00:10:00","2024-08-01T06:16:00-05:00","2024-08-01T06:08:00-05:00","1","C4",0,list("None"),295.02
"NZ",63,"MKE","ORD","2024-08-01","07:03","US",2628,"00:00:00","2024-08-01T06:00:00-05:00","2024-08-01T06:24:00-05:00","-00:10:00","2024-08-01T05:50:00-05:00","2024-08-01T06:08:00-05:00","-00:18:00","2024-08-01T06:45:00-05:00","2024-08-01T06:37:00-05:00","-00:12:00","2024-08-01T06:51:00-05:00","2024-08-01T06:36:00-05:00","2","F18",0,list("None"),66.93
"RJ",254,"SFO","ORD","2024-08-01","12:14","US",7402,"00:00:00","2024-08-01T06:00:00-07:00",NA,"-00:07:00","2024-08-01T05:53:00-07:00","2024-08-01T06:07:00-07:00","-00:18:00","2024-08-01T11:56:00-05:00",NA,"-00:16:00","2024-08-01T11:58:00-05:00","2024-08-01T11:45:00-05:00","3","K20",0,list("None"),1842.58
"AS",137,"BWI","ORD","2024-08-01","07:17","US",6662,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:04:00","2024-08-01T05:56:00-04:00","2024-08-01T06:07:00-04:00","-00:28:00","2024-08-01T06:49:00-05:00",NA,"-00:28:00","2024-08-01T06:49:00-05:00","2024-08-01T06:38:00-05:00","3","L1A",0,list("None"),620.11
"AS",130,"ATL","ORD","2024-08-01","07:10","US",6784,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:06:00","2024-08-01T05:54:00-04:00","2024-08-01T06:15:00-04:00","-00:16:00","2024-08-01T06:54:00-05:00",NA,"-00:17:00","2024-08-01T06:53:00-05:00","2024-08-01T06:44:00-05:00","3","H17",0,list("None"),606.66
"AS",137,"AVP","ORD","2024-08-01","07:17","US",8266,"00:00:00","2024-08-01T06:00:00-04:00",NA,"-00:02:00","2024-08-01T05:58:00-04:00","2024-08-01T06:09:00-04:00","-00:23:00","2024-08-01T06:54:00-05:00",NA,"-00:26:00","2024-08-01T06:51:00-05:00","2024-08-01T06:43:00-05:00","3","L6A",0,list("None"),629.83
"AS",175,"SAT","ORD","2024-08-01","08:55","US",6257,"00:00:00","2024-08-01T06:00:00-05:00",NA,"-00:12:00","2024-08-01T05:48:00-05:00","2024-08-01T06:10:00-05:00","00:14:00","2024-08-01T09:09:00-05:00",NA,"00:18:00","2024-08-01T09:13:00-05:00","2024-08-01T08:53:00-05:00","3","K9",0,list("None"),1042.31
